"ID","Task","Session","N.Sessions","Trial","Stimulus","Continuum","Step","VOT","Response"
"TIMETIME.002","Ganong",2,2,70,"gift_08","gift",8,55,0
"TIMETIME.002","Ganong",2,2,71,"giss_08","giss",8,55,0
"TIMETIME.002","Ganong",2,2,72,"gift_06","gift",6,42,0
"TIMETIME.002","Ganong",2,2,73,"gift_09","gift",9,61,1
"TIMETIME.002","Ganong",2,2,74,"giss_04","giss",4,29,0
"TIMETIME.002","Ganong",2,2,75,"gift_11","gift",11,74,1
"TIMETIME.002","Ganong",2,2,76,"gift_10","gift",10,68,1
"TIMETIME.002","Ganong",2,2,77,"giss_07","giss",7,49,1
"TIMETIME.002","Ganong",2,2,78,"gift_05","gift",5,36,0
"TIMETIME.002","Ganong",2,2,79,"giss_05","giss",5,36,0
"TIMETIME.002","Ganong",2,2,80,"giss_10","giss",10,68,1
"TIMETIME.002","Ganong",2,2,81,"giss_10","giss",10,68,1
"TIMETIME.002","Ganong",2,2,82,"gift_10","gift",10,68,1
"TIMETIME.002","Ganong",2,2,83,"gift_11","gift",11,74,1
"TIMETIME.002","Ganong",2,2,84,"gift_06","gift",6,42,0
"TIMETIME.002","Ganong",2,2,85,"giss_04","giss",4,29,0
"TIMETIME.002","Ganong",2,2,86,"gift_07","gift",7,49,1
"TIMETIME.002","Ganong",2,2,87,"giss_06","giss",6,42,0
"TIMETIME.002","Ganong",2,2,88,"giss_09","giss",9,61,1
"TIMETIME.002","Ganong",2,2,89,"gift_04","gift",4,29,0
"TIMETIME.002","Ganong",2,2,90,"giss_11","giss",11,74,1
"TIMETIME.002","Ganong",2,2,91,"giss_05","giss",5,36,0
"TIMETIME.002","Ganong",2,2,92,"gift_09","gift",9,61,0
